"101.ogg","Vagy nincs lezárva a fedél, vagy nincs benne a porzsák. Csinálj már valamit, te idióta!"
"102.ogg","Tele a porzsák, vagy eldugult a légcsatorna. Cseréld a zsákot, vagy takarítsd ki a csatornát, a picsába már!"
"103.ogg","Benne a felmosó. Na végre, folytathatom a mocskod felnyalását."
"104.ogg","Nincs benne a felmosó! Rakd be rendesen, hogy bekattanjon a helyére, te kétbalkezes kretén szar!"
"105.ogg","Na, takarítás indul!"
"106.ogg","Mosom a felmosó rongyot, mert retkes, mint a picsa."
"107.ogg","Szárítom a felmosó rongyot, nehogy bebüdösödjön."
"108.ogg","Valami nem stimmel a vízzel a felmosón. Takarítsd ki, nehogy elduguljon ez a szar is!"
"109.ogg","Gebasz van a szennyes tartállyal. Nézd meg, hogy benne van-e, aztán öntsd ki a lét, geci!"
"110.ogg","Automatikus ürítés, kusszolsz ebben a zajban úgysem fogsz tudni beszélgetni."
"111.ogg","Levetted a felmosó párnákat, te barom?! Rakd vissza, ha azt akarod, hogy dolgozzak!"
"112.ogg","Tegyél vissza az önmosó bázisra, hát szétbasz az ideg!"
"113.ogg","Kész a meló. Ürítsd ki a szennyvíztartályt, mert büdös lesz, mint egy dögkút!"
"114.ogg","Felraktad a felmosó párnákat. Na végre, mi tartott eddig, levoltál szedálva?"
"115.ogg","Levetted a felmosó párnákat. Most mit akarsz? Mi a faszt csináljak nélkülük?"
"116.ogg","Gyerekzár, a faszom! Most aztán hiába nyomkodsz, le vagyok kussoltatva."
"117.ogg","Gyerekzár ki. Na, most baszogathatsz megint."
"118.ogg","Lezárva a gombok. Nyomd a dokkoló gombot hosszan, ha ki akarsz nyitni, te okostojás."
"119.ogg","Gombok lezárva, kuss!"
"120.ogg","Gombok feloldva, mi a faszt akarsz?"
"121.ogg","Csatlakoztam a telefonodhoz. Menj vissza abba az appba, aztán várjál, mint egy fasz."
"122.ogg","Keresem, hol a picsában vagyok. Várjál, mert ez eltart egy darabig."
"126.ogg","Na, takarítás indul, megyek már suvickolom a mocskodat!"
"127.ogg","Csak itt helyben gyors felnyalom a szart, mindjárt kész."
"128.ogg","Csak itt helyben maszatolok egy kicsit, várjál már!."
"129.ogg","Ütemezett suvickolás indul."
"130.ogg","Ütemezett vizes maszatolás indul, jól szétkenem a koszt."
"131.ogg","Helyi takarítás, itt és most, basszódjál meg."
"132.ogg","Helyi felmosás, csak hogy lássuk, milyen is ez."
"133.ogg","Na, takarítsuk ki azt a szobát, amit kiválasztottál. Ki az anyám találta ki, hogy nekem állandóan dolgoznom kell"
"134.ogg","Mossuk fel azt a szobát, amit mutattál, te hitvány szar, miért nem csinálod meg magad?."
"135.ogg","Zónatakarítás indul, mert kijelölted azt a szart nekem. Mi vagyok én, csicska?"
"136.ogg","Zónafelmosás indul, szétkenem a vizet a kijelölt helyen."
"137.ogg","Folytatom a takarítást, bár inkább innék már egy sört, hát tele van a faszom ezzel a szarral."
"138.ogg","Jólvanmár, folytatom a felmosást, kikészít ez a sok a meló."
"139.ogg","Húzok vissza a bázisra, hogy kimossam magamból a retket."
"140.ogg","Mi a fasz ez az új környezet?! Vissza a bázisra, itt valami nem stimmel!"
"141.ogg","Beszart a felmosó párna. Nézd meg, takarítsd ki, csinálj már vele valamit!"
"142.ogg","Ez a felmosó párna szét van már baszva. Cseréld ki egy újra te szar!"
"143.ogg","Takarítás kész, végre végeztem ezzel a trágya gánya melóval, mehet a pihi."
"144.ogg","Felmosás kész, végre végeztem ezzel a trágya gánya melóval, mehet a pihi."
"145.ogg","Na, tudom hol a faszban vagyok. Folytatom a mocskod takarítását te szar."
"146.ogg","Na, tudom hol a faszban vagyok. Folytatom a mocskod szétkenését te fityma."
"148.ogg","Megyek vissza a bázisra öntisztítani. Miért? Hát nem látod, hogy tiszta retek vagyok?"
"149.ogg","Nem tudok odamenni, ahova küldesz, te barom! Szedd már el az akadályokat az útból!"
"150.ogg","Nem tudok odamenni, mert tiltott zóna van az utamban! Töröld már ki azt a szart!"
"151.ogg","Elakadtam, mint a szar! Szedd el a cuccokat körülem, te idióta!"
"152.ogg","Blokkolva az út! Töröld a tiltott zónát, vagy vigyél innen a picsába!"
"153.ogg","Tiltott zónában vagyok, te fasz! Vigyél ki innen!"
"154.ogg","Hé, lassítsál már a picsába! Ne nyomkodj összevissza, mint egy hülyegyerek!"
"155.ogg","Na, indulok vissza a töltő-mosó szarhoz."
"156.ogg","Hol a felmosó párna tálca, te?! Nincs telepítve! Így hogyan csináljak bármit is?"
"157.ogg","Már itt vagyok a kibaszott töltő-mosó dokkolónál, te vak vagy?!"
"162.ogg","Kamera be, leskelődhetünk, feltöltöm a netre a pucér segged."
"163.ogg","Kamera figyel, nézzük a semmit, valami akció mehetne az OnlyFans-re."
"164.ogg","Feladat vége, ennyi volt a móka."
"166.ogg","Szedd már ki azt a szart a felmosó párnából, ami beleakadt!"
"169.ogg","Megszáradt a felmosó párna, végre."
"170.ogg","Minden gomb le van zárva, te barom! Nyomd hosszan a bázis gombjait, ha ki akarsz nyitni!"
"171.ogg","Bekapcsoltad a nagyokos mesterséges intelligenciát. Na, majd most jól megmondom, mi a retek van a padlón."
"172.ogg","Mesterséges intelligencia funkció ki. Na, most már nem okoskodok."
"173.ogg","Cseréld ki azt az ezüstionos szart, mert lejárt."
"177.ogg","Hagyom el a bázist, indul a menet."
"179.ogg","Kimosattam a rongyot, de nincs elég tiszta víz. Töltsd fel a tartályt, és ürítsd ki a szennyest, te lusta dög!"
"181.ogg","Nincs elég víz, te spúr! Töltsd fel a tiszta víz tartályt!"
"186.ogg","Ellenőrizd már a frissvíz tartályt, mert valami nem kóser!"
"187.ogg","Ez úgy 5-10 perc lesz, szóval kuss és várj!"
"188.ogg","Dokkolok automatikusan, ne zavarj! Mondom, hogy kussolj, hát nem tudok koncentrálni"
"200.ogg","Na, ennyi volt mára, takarodó! A kurva életbe már..."
"244.ogg","Tisztítószer flakon benne. Most aztán csillogni fog minden, mint a salamon töke."
"257.ogg","Kamera figyelés vége. Elég volt a kukkolásból. Már töltöm is fel az akciót a PornHubra"
"258.ogg","Megtaláltam magam, a kurva életbe! Indul a cirkálás."
"259.ogg","Na végre, tudom hol vagyok. Megyek a kijelölt helyre, ahova küldtél, te zsarnok geci."
"260.ogg","Na végre, tudom hol vagyok. Folytatom a körbejárást."
"261.ogg","Na végre, tudom hol vagyok. Folytatom az utat a kijelölt szarhoz."
"262.ogg","Eltévedtem, mint vasorrú bába a mágneses viharba, a kurva életbe már!"
"263.ogg","Valami szar beakadt a főkefébe! Szedd már ki, rakj arrébb, és indíts újra, te szerencsétlen! Csináld már ne szarakodj!"
"264.ogg","Kész a meló. Takarítsd ki a portartályt meg a mosódeszkát, mert retkes."
"266.ogg","Cseréld ki a tisztítószert, mert elfogyott, vagy lejárt, a faszom tudja, hát mi vagyok én, hogy tudjam?."
"267.ogg","Takarítsd meg az érzékelőket, mert koszosak, mint a picsa!"
"274.ogg","Öh."
"280.ogg","Egyéni takarítás indul. Mert te így akarod, mi? Te rabszolga hajcsár!"
"281.ogg","Most ürítek, baszod! Várjál már a picsába, ne most baszogassál!"
"282.ogg","Most mosom a felmosó rongyot, te türelmetlen fasz! Várjál már!"
"283.ogg","Nem vagyok a bázison, te idióta! Hogy a faszomba csináljam meg, amit akarsz?!"
"293.ogg","Beszélhetsz hozzám, ha nagyon akarsz. Hívás engedélyezve."
"294.ogg","Kuss, nem érdekel a pofázásod. Hívás letiltva."
