"0.ogg","Indítási hang"
"48.ogg","Alacsony akkumulátorszint. Visszatérés a dokkolóhoz."
"49.ogg","Nagy intenzitású mágneses mező észlelve. Kérjük, vigye távolabb a robotot és indítsa újra."
"50.ogg","Töltési hiba. Kérjük, tisztítsa meg a töltőérintkezőket."
"51.ogg","Az akkumulátor túlmelegedett vagy túlhűlt. Kérjük, várja meg, amíg az akkumulátor hőmérséklete visszatér a normál értékre. Ezután folytassa a használatot."
"52.ogg","A robot megdőlt. Kérjük, helyezze vízszintes talajra az újraindításhoz."
"53.ogg","Virtuális tiltott zóna észlelve. Kérjük, vigye távolabb a robotot és indítsa újra."
"54.ogg","Helymeghatározás sikeres. Takarítás folytatása."
"55.ogg","Helymeghatározás sikeres. Visszatérés folytatása a dokkolóhoz."
"56.ogg","Kiválasztott szoba takarításának indítása."
"57.ogg","Zónatakarítás indítása."
"58.ogg","Takarítási feladat folytatása."
"59.ogg","Felmosás befejezve. Kérjük, időben távolítsa el a víztartályt."
"60.ogg","Optikai áramlásérzékelő hiba. Kérjük, törölje tisztára az optikai áramlásérzékelőt és indítsa újra."
"61.ogg","Felmosás indítása."
"62.ogg","Távirányítós takarítás indítása."
"63.ogg","Víztartály eltávolítva."
"64.ogg","Helymeghatározás sikertelen. A térkép érvénytelen. A robot visszatér a dokkolóhoz."
"65.ogg","Visszatérés folytatása a dokkolóhoz."
"66.ogg","A szűrő elhasználódott. Kérjük, időben cserélje ki."
"67.ogg","Az oldalkefe elhasználódott. Kérjük, időben cserélje ki."
"68.ogg","A főkefe elhasználódott. Kérjük, időben cserélje ki."
"69.ogg","A takarítási útvonal blokkolva. Kérjük, helyezze a robotot új pozícióba az újraindításhoz."
"70.ogg","Kérjük, távolítsa el és tisztítsa meg a felmosó párnát."
"71.ogg","Lézerérzékelő hiba. Kérjük, ellenőrizze és tisztítsa meg a lézerérzékelőt."
"72.ogg","Kérjük, ellenőrizze, hogy a lézeres távolságérzékelő fedele beszorult-e."
"73.ogg","Szélérzékelő hiba. Kérjük, ellenőrizze és tisztítsa meg."
"74.ogg","Kérjük, próbálja megtisztítani az akadályérzékelőket."
"75.ogg","A szűrő lehet, hogy nem száraz vagy eldugult."
"76.ogg","Helyi takarítás indul."
"77.ogg","Kérjük, indítsa a robotot szőnyegmentes területen."
"78.ogg","Kérjük, tisztítsa meg a 3D akadálykerülő érzékelőt."
"79.ogg","3D akadálykerülő érzékelő hiba. Kérjük, indítsa újra a robotot vagy lépjen kapcsolatba az ügyfélszolgálattal."
"80.ogg","A 3D akadálykerülő érzékelő adója meghibásodott. Kérjük, indítsa újra a robotot vagy lépjen kapcsolatba az értékesítés utáni szervizzel."
"81.ogg","Ultrahangos érzékelő hiba. Kérjük, indítsa újra a robotot vagy lépjen kapcsolatba az ügyfélszolgálattal."
"82.ogg","Térképezés indítása."
"83.ogg","Térképezés folytatása."
"84.ogg","Térképezés befejezve."
"85.ogg","Helymeghatározás sikeres. Térképezés folytatása."
"86.ogg","Helymeghatározás sikertelen. Térképezés újraindítása."
"87.ogg","Alacsony akkumulátorszint. Visszatérés a dokkolóhoz."
"88.ogg","Belépés távirányító módba."
"89.ogg","Töltés folytatása."
"90.ogg","Takarítási feladat folytatása."
"91.ogg","A tiszta víz tartály nincs telepítve. Kérjük, telepítse, mielőtt a robot folytatja a munkát."
"92.ogg","A szennyezett víz tartály nincs telepítve. Kérjük, telepítse, mielőtt a robot folytatja a munkát."
"93.ogg","Nincs elég víz a tiszta víz tartályban. Töltsön vizet a tartályba, mielőtt a robot folytatja a munkát."
"94.ogg","A szennyezett víz tartály tele van. Öntse ki a szennyezett vizet, mielőtt a robot folytatja a munkát."
"95.ogg","A felmosó párna mosódeszka nincs telepítve. A robot nem tud visszatérni a töltő dokkolóhoz."
"96.ogg","A felmosó párna mosódeszka túlcsordul. Kérjük, ellenőrizze, hogy a párna vízkimenete eldugult-e."
"97.ogg","A porgyűjtő zsák nincs telepítve. Kérjük, telepítse, mielőtt a robot folytatja a munkát."
"98.ogg","A porgyűjtő zsák tele van. Kérjük, ürítse ki."
"99.ogg","A töltő és porgyűjtő rekesz felső fedele nincs lezárva. Kérjük, zárja le a felső fedelet, mielőtt a robot folytatja a munkát."
"100.ogg","A töltő és porgyűjtő rekesz légcsatornája eldugult. Kérjük, ellenőrizze."
"101.ogg","Az automatikus ürítő bázis felső fedele nincs lezárva vagy a porgyűjtő zsák nincs telepítve. Kérjük, zárja le a felső fedelet vagy telepítse a zsákot."
"102.ogg","A porgyűjtő zsák tele van vagy a légcsatorna eldugult. Kérjük, cserélje ki a zsákot egy újra vagy tisztítsa meg időben a légcsatornát."
"103.ogg","A felmosó párna mosódeszka telepítve. A robot folytatja a munkát."
"104.ogg","A felmosó párna mosódeszka nincs telepítve. Kérjük, győződjön meg róla, hogy a mosódeszka telepítve van, és mindkét oldali kapcsai szorosan rögzítve vannak."
"105.ogg","Takarítás indítása."
"106.ogg","A felmosó tisztításának indítása."
"107.ogg","A felmosó szárításának indítása."
"108.ogg","A felmosó párna mosódeszka vízszintje rendellenes. Kérjük, időben tisztítsa meg az eltömődés elkerülése érdekében."
"109.ogg","Hiba történt a szennyezett víz tartályban. Kérjük, győződjön meg róla, hogy a szennyezett víz tartály telepítve van, és időben ürítse ki a benne lévő szennyezett vizet."
"110.ogg","Automatikus ürítés indítása."
"111.ogg","Felmosó párnák eltávolítva. Kérjük, telepítse őket a munka folytatása előtt."
"112.ogg","Használat előtt helyezze vissza a robotot az önmosó bázisra."
"113.ogg","Feladat befejezve. Kérjük, időben ürítse ki a szennyvíztartályt."
"114.ogg","Felmosó párnák telepítve."
"115.ogg","Felmosó párnák eltávolítva."
"116.ogg","Gyerekzár bekapcsolva. Gombok lezárva."
"117.ogg","Gyerekzár kikapcsolva. Gombok feloldva."
"118.ogg","Gombok lezárva. Nyomja meg és tartsa lenyomva a dokkoló gombot a feloldáshoz."
"119.ogg","Gombok lezárva."
"120.ogg","Gombok feloldva."
"121.ogg","A robot és a telefon csatlakozott. Kérjük, térjen vissza a Fantic alkalmazásba, és várja meg a hálózati kapcsolat befejezését."
"122.ogg","Folyamatos helymeghatározás, kérem várjon."
"126.ogg","Takarítás indítása."
"127.ogg","Helyi takarítás indítása."
"128.ogg","Helyi felmosás indítása."
"129.ogg","Ütemezett takarítás indítása."
"130.ogg","Ütemezett felmosás indítása."
"131.ogg","Helyi takarítás indítása."
"132.ogg","Helyi felmosás indítása."
"133.ogg","Kiválasztott szoba takarításának indítása."
"134.ogg","Kiválasztott szoba felmosásának indítása."
"135.ogg","Zónatakarítás indítása."
"136.ogg","Zónafelmosás indítása."
"137.ogg","Takarítás folytatása."
"138.ogg","Felmosás folytatása."
"139.ogg","Visszatérés folytatása a bázisra öntisztításhoz."
"140.ogg","Új környezet észlelve. Visszatérés az önmosó bázisra."
"141.ogg","Felmosó párna hiba. Kérjük, ellenőrizze és tisztítsa meg."
"142.ogg","A felmosó párna elhasználódott. Kérjük, időben cserélje ki."
"143.ogg","Takarítás befejezve."
"144.ogg","Felmosás befejezve."
"145.ogg","Helymeghatározás sikeres. Takarítás folytatása."
"146.ogg","Helymeghatározás sikeres. Felmosás folytatása."
"148.ogg","Visszatérés a bázisra öntisztításhoz."
"149.ogg","Nem sikerült elérni a megadott területet. Kérjük, próbálja meg eltávolítani az akadályokat az útvonalból."
"150.ogg","Nem sikerült elérni a megadott területet. Kérjük, próbálja meg törölni a tiltott zónákat az útvonalból."
"151.ogg","Az útvonal blokkolva. Kérjük, próbálja meg eltávolítani az akadályokat a robot körül."
"152.ogg","Az útvonal blokkolva. Kérjük, próbálja meg törölni a tiltott zónákat vagy vigye ki a robotot erről a területről."
"153.ogg","A robot tiltott zónában van. Kérjük, vigye ki a robotot erről a területről."
"154.ogg","Túl gyakori művelet. Kérjük, próbálja újra később."
"155.ogg","Visszatérés indítása a töltő és felmosó tisztító dokkolóhoz."
"156.ogg","Felmosó párna tálca nincs telepítve."
"157.ogg","Már a töltő és felmosó tisztító dokkolónál vagyok."
"162.ogg","Kamera bekapcsolva"
"163.ogg","Kamera figyelés"
"164.ogg","Feladat vége"
"166.ogg","Kérjük, tisztítsa meg a felmosó párnába akadt idegen tárgyakat"
"169.ogg","Felmosó párna szárítása befejezve"
"170.ogg","Minden gomb le van zárva. Kérjük, nyomja meg és tartsa lenyomva a bázisállomás gombjait a feloldáshoz"
"171.ogg","MI felismerési funkció bekapcsolva"
"172.ogg","MI felismerési funkció kikapcsolva"
"173.ogg","Kérjük, cserélje ki az ezüstion sterilizálót"
"177.ogg","Bázisállomás elhagyása"
"179.ogg","Felmosó párna megtisztítva. A tiszta víz tartályban nincs elég víz. Kérjük, töltse fel a tiszta víz tartályt és ürítse ki a használt víz tartályt"
"181.ogg","Nincs elég víz. Kérjük, töltse fel a tiszta víz tartályt"
"186.ogg","Kérjük, ellenőrizze a frissvíz tartályt"
"187.ogg","Ez körülbelül 5-10 percet vesz igénybe"
"188.ogg","Automatikus dokkolás folyamatban"
"200.ogg","Kikapcsolási hang"
"244.ogg","Tisztítószer flakon telepítve"
"257.ogg","Kilépés a kamera figyelésből"
"258.ogg","Önpozícionálás sikeres. Cirkálás elindult"
"259.ogg","Önpozícionálás sikeres. Haladás a kijelölt helyre"
"260.ogg","Önpozícionálás sikeres. Cirkálás folytatva"
"261.ogg","Önpozícionálás sikeres. Haladás folytatása a kijelölt helyre"
"262.ogg","Önpozícionálás sikertelen"
"263.ogg","Kérjük, tisztítsa meg a főkefébe akadt idegen tárgyakat. Helyezze újra a robotot és indítsa el újra"
"264.ogg","Feladat befejezve. Kérjük, tisztítsa meg a portartályt és a mosódeszkát"
"266.ogg","Kérjük, cserélje ki a tisztítószert"
"267.ogg","Kérjük, tisztítsa meg az érzékelőket"
"274.ogg","*Ding hang*"
"280.ogg","Egyéni takarítás indítása"
"281.ogg","A robot automatikusan ürít. Kérjük, próbálja újra később"
"282.ogg","A robot tisztítja a felmosó párnát. Kérjük, próbálja újra később"
"283.ogg","A robot nincs a bázisállomáson. Kérjük, próbálja újra később"
"293.ogg","Hívás engedélyezve"
"294.ogg","Hívás letiltva"
