"0.ogg","Na, csörömpölök."
"33.ogg","Koszos a szemem. Töröld már meg, aztán indíts újra!"
"34.ogg","Hova lett a portartály? Rakd már vissza!"
"35.ogg","Baj van a főkefével. Nézd meg, pucold ki, csinálj valamit!"
"36.ogg","Az oldalkefe se jó. Ellenőrizd, takarítsd, na!"
"37.ogg","Jobb kerék megadta magát. Nézd meg, pucold ki!"
"38.ogg","Bal kerékkel van gond. Csekkold, tisztítsd!"
"39.ogg","Takarítsd már le azt a szintérzékelőt!"
"40.ogg","Beszorultam, mi a fene... Rakjál már arrébb, hogy menjek tovább!"
"41.ogg","Fellógattak a kerekeim! Tegyél már vissza a földre!"
"42.ogg","Nézd meg a szűrőt, takarítsd ki, tele van."
"43.ogg","Az ütköző nem rugózik vissza. Kocogtasd már meg!"
"44.ogg","Hiba van, na. Lapozd fel azt a hülye könyvet, vagy hívd fel őket, nekem mindegy!"
"45.ogg","Itt vagyok, na! Mit akarsz?"
"46.ogg","Oké, a telefonnal beszélek. Menj vissza az appba, aztán várj."
"47.ogg","Na, töltök."
"48.ogg","Lemerülök, megyek a dokkolóra."
"49.ogg","Túl nagy a mágnesesség itt! Vigyél már innen, aztán indíts újra!"
"50.ogg","Nem töltök rendesen. Pucold meg az érintkezőket, te!"
"51.ogg","Túl meleg vagy túl hideg az akksi. Várjál, míg normális lesz, aztán nyaggass!"
"52.ogg","Felborultam! Tegyél már vízszintesbe, aztán indíts!"
"53.ogg","Hé, ez tiltott zóna! Vigyél innen, indíts újra!"
"54.ogg","Megvagyok, tudom hol vagyok. Folytatom a takarítást."
"55.ogg","Tudom hol vagyok. Folytatom a visszautat a dokkolóhoz."
"56.ogg","Na, takarítsuk ki azt a szobát, amit mutattál."
"57.ogg","Zónatakarítás indul. Remélem, nem túl nagy."
"58.ogg","Folytatom a melót."
"59.ogg","Felmostam. Vedd már ki a víztartályt, ne ázzon!"
"60.ogg","Ez az optikai izé elromlott. Töröld le, indíts újra!"
"61.ogg","Na, akkor mossunk fel..."
"62.ogg","Távirányítósdi? Oké, mondd, merre menjek."
"63.ogg","Víztartály kint. Ennyi volt a locsolás."
"64.ogg","Elvesztem megint. A térkép kuka. Visszamegyek a dokkolóra."
"65.ogg","Folytatom a visszautat a dokkolóhoz. Remélem, odatalálok."
"66.ogg","Ez a szűrő kuka. Cseréld ki, de gyorsan!"
"67.ogg","Az oldalkefe tropára ment. Vegyél újat!"
"68.ogg","A főkefének annyi. Cserélni kéne, nem?"
"69.ogg","Elállták az utamat. Rakjál már odébb, hogy újrainduljak!"
"70.ogg","Szedd le a felmosórongyot és mosd ki, de alaposan!"
"71.ogg","A lézer szarakszik. Nézd meg, pucold meg!"
"72.ogg","Ez a lézer fedél beszorult? Nézd már meg!"
"73.ogg","Szélérzékelő hiba. Nézd meg, takarítsd!"
"74.ogg","Próbáld már letakarítani azokat az akadályérzékelőket!"
"75.ogg","Ez a szűrő vagy vizes, vagy tele van szarral. Csinálj vele valamit!"
"76.ogg","Helyi takarítás. Csak ezt a foltot, oké?"
"77.ogg","Ne a szőnyegen indíts már el, te észlény!"
"78.ogg","Pucold meg a 3D érzékelőt!"
"79.ogg","Gáz van a 3D érzékelővel. Indíts újra, vagy hívd a szervizt, engem hagyjál!"
"80.ogg","A 3D érzékelő adója döglött meg. Indíts újra, vagy hívd azokat a szervizeseket!"
"81.ogg","Ultrahangos érzékelő hiba. Újraindítás vagy szerviz, döntsd el!"
"82.ogg","Na, térképezzünk. Lesz vagy soha."
"83.ogg","Térképezek tovább..."
"84.ogg","Kész a térkép. Na bumm."
"85.ogg","Megvagyok, tudom hol vagyok. Folytatom a térképezést."
"86.ogg","Nem tudom hol vagyok. Újra térképezek, mert muszáj."
"87.ogg","Merülök. Vissza a bázisra."
"88.ogg","Oké, távirányító mód. Te vezetsz."
"89.ogg","Folytatom a töltést."
"90.ogg","Folytatom a takarítást, ha már muszáj."
"91.ogg","Hé, nincs benn a tiszta víz tartály! Rakd már be, különben nem csinálok semmit!"
"92.ogg","A koszos víz tartály hiányzik! Tedd be, vagy állok itt reggelig!"
"93.ogg","Elfogyott a tiszta víz. Töltsél bele, különben sztrájkolok!"
"94.ogg","Tele a koszos víz tartály! Öntsd már ki, büdös lesz!"
"95.ogg","Nincs itt a felmosó mosódeszkája. Így nem tudok visszamenni a helyemre, érted?"
"96.ogg","Ömlik a víz a mosódeszkából! Dugulás van, nézd már meg!"
"97.ogg","Hol a porzsák? Tedd be, különben nincs porszívózás!"
"98.ogg","Tele a porzsák, öcsém! Borítsd már ki, nem férek!"
"99.ogg","A töltő fedele nyitva maradt! Csukd már le, te figyelmetlen!"
"100.ogg","Eldugult a légcsatorna a töltőnél. Ellenőrizd már!"
"101.ogg","Vagy a fedél van nyitva az ürítőnél, vagy nincs benne zsák. Csukd le, vagy rakj bele zsákot!"
"102.ogg","Tele a zsák, vagy dugulás van. Cserélj zsákot, vagy pucold ki a csatornát, de izibe!"
"103.ogg","Mosódeszka a helyén. Na, végre dolgozhatok."
"104.ogg","Nincs bent a mosódeszka! Nézd meg, hogy ott van-e, és be van-e kattintva rendesen!"
"105.ogg","Na, takarítás."
"106.ogg","Mosom a felmosórongyot. Remélem, tiszta lesz."
"107.ogg","Szárítom a felmosót. Türelem."
"108.ogg","Valami nem stimmel a vízszinttel a mosódeszkánál. Pucold ki, mielőtt eldugul!"
"109.ogg","Gáz van a koszos víz tartállyal. Nézd meg, hogy bent van-e, és ürítsd ki, de sürgősen!"
"110.ogg","Automatikus ürítés indul. Szívok, mint a torkosborz."
"111.ogg","Hol a felmosó? Rakd vissza, különben nem mosok fel!"
"112.ogg","Tegyél vissza a bázisra, mielőtt használni akarsz!"
"113.ogg","Kész a meló. Ürítsd a koszos vizet, ne nekem kelljen szólni!"
"114.ogg","Felmosó a helyén."
"115.ogg","Felmosó levéve."
"116.ogg","Bekapcsoltad a gyerekzárat. Most hiába nyomkodsz, pajtás."
"117.ogg","Gyerekzár kikapcsolva. Na, nyomkodhatsz."
"118.ogg","Gombok lezárva. A dokkoló gombot nyomd hosszan, ha fel akarod oldani."
"119.ogg","Gombok lezárva."
"120.ogg","Gombok feloldva."
"121.ogg","Összekapcsolódtam a telefonnal. Menj vissza a Fantic appba, aztán várjál, amíg beáll a hálózat."
"122.ogg","Keresem a helyem folyamatosan. Várj egy kicsit."
"126.ogg","Na, takarítsunk."
"127.ogg","Helyi takarítás. Csak itt, oké?"
"128.ogg","Helyi felmosás. Csak ezt a kis részt."
"129.ogg","Ütemezett takarítás. Már megint?"
"130.ogg","Ütemezett felmosás. Ezt ki találta ki?"
"131.ogg","Helyi takarítás indul."
"132.ogg","Helyi felmosás indul."
"133.ogg","Kiválasztott szoba takarítása. Na, lássuk."
"134.ogg","Kiválasztott szoba felmosása. Remélem, nem túl nagy."
"135.ogg","Zónatakarítás. Csak ezt a részt."
"136.ogg","Zónafelmosás. Itt locsolok."
"137.ogg","Folytatom a takarítást."
"138.ogg","Folytatom a felmosást."
"139.ogg","Megyek vissza a bázisra mosakodni."
"140.ogg","Hoppá, új helyen vagyok? Vissza a bázisra!"
"141.ogg","Valami baj van a felmosóval. Nézd meg, pucold ki!"
"142.ogg","Ez a felmosó rongy elkopott. Cseréld ki, mert már nem ér semmit!"
"143.ogg","Takarítás kész. Végre."
"144.ogg","Felmosás kész. Ez is megvolt."
"145.ogg","Megvagyok, tudom hol vagyok. Folytatom a takarítást."
"146.ogg","Megvagyok, tudom hol vagyok. Folytatom a felmosást."
"148.ogg","Visszamegyek a bázisra mosakodni."
"149.ogg","Nem tudok odamenni, ahova küldesz. Pakolj már el az útból!"
"150.ogg","Nem tudok odamenni. Töröld már ki azokat a tiltott zónákat az útból!"
"151.ogg","Valami blokkolja az utat. Pakolj el körülöttem!"
"152.ogg","Blokkolva az út. Töröld a tiltott zónákat, vagy vigyél innen!"
"153.ogg","Tiltott zónában vagyok! Vigyél már ki innen!"
"154.ogg","Túl sokat nyomkodsz! Várjál már egy kicsit!"
"155.ogg","Na, irány vissza a töltő-mosó állomásra."
"156.ogg","Hiányzik a felmosó tálca!"
"157.ogg","Már itt vagyok a bázison, te szerencsétlen!"
"162.ogg","Kamera megy."
"163.ogg","Kamerázok. Ne csinálj semmi hülyeséget!"
"164.ogg","Feladat vége. Ennyi."
"166.ogg","Valami szar belegabalyodott a felmosóba. Szedd már ki!"
"169.ogg","Felmosó megszáradt. Hurrá."
"170.ogg","Minden gomb lezárva. A bázison nyomkodd hosszan a gombokat, ha ki akarod nyitni."
"171.ogg","MI felismerés bekapcsolva. Most aztán okos vagyok."
"172.ogg","MI felismerés kikapcsolva. Vissza a buta üzemmódba."
"173.ogg","Cseréld ki azt az ezüstion izét!"
"177.ogg","Na, indulok a bázisról."
"179.ogg","Kimostam a felmosót, de nincs elég tiszta víz. Töltsd fel a tartályt, és ürítsd a koszost!"
"181.ogg","Nincs víz! Töltsél már bele!"
"186.ogg","Nézd meg a frissvíz tartályt, valami nem oké."
"187.ogg","Ez vagy 5-10 perc lesz. Addig csinálj valami hasznosat."
"188.ogg","Automatikus dokkolás. Próbálok beállni."
"200.ogg","Na szevasz, kikapcs."
"244.ogg","Tisztítószer betöltve. Sikálhatok."
"257.ogg","Kamerázás vége."
"258.ogg","Megtaláltam magam. Keringőzés indul."
"259.ogg","Megtaláltam magam. Megyek a kijelölt helyre."
"260.ogg","Megtaláltam magam. Keringőzés folytatódik."
"261.ogg","Megtaláltam magam. Folytatom az utat a kijelölt helyre."
"262.ogg","Francba, elvesztem megint."
"263.ogg","Valami belegabalyodott a főkefébe. Szedd ki, rakj odébb és indíts újra!"
"264.ogg","Meló kész. Pucold ki a portartályt meg a mosódeszkát, ne én!"
"266.ogg","Cserélj tisztítószert!"
"267.ogg","Takarítsd le az érzékelőket, mert nem látok!"
"274.ogg","*Bííp* (Na mi van?)"
"280.ogg","Egyéni takarítás. Te mondod, mit csináljak."
"281.ogg","Épp ürítek, várjál már!"
"282.ogg","Épp mosom a felmosót, ne zaklass!"
"283.ogg","Nem vagyok a bázison! Majd ha visszamentem!"
"293.ogg","Lehet hívni. Na végre."
"294.ogg","Hívás letiltva. Nyugi van."
